id,timestamp,type,lat,lon,duration,nearest_sensor_id,dist_km
17018084,2017-02-16 06:24:00,1183-Trfc Collision-Unkn Inj,37.254298,-121.880247,43.0,400461,0.15706358797918546
17018209,2017-02-16 07:26:00,1125-Traffic Hazard,37.395264,-122.068669,37.0,407374,0.016881490751558894
17018251,2017-02-16 07:47:00,1125-Traffic Hazard,37.29841,-121.940389,66.0,404370,0.29895852778051735
17018265,2017-02-16 07:53:00,1125-Traffic Hazard,37.29841,-121.940389,26.0,404370,0.29895852778051735
17018266,2017-02-16 07:52:00,1183-Trfc Collision-Unkn Inj,37.317242,-121.940319,67.0,407711,0.13265517073966113
17018278,2017-02-16 07:58:00,1182-Trfc Collision-No Inj,37.317282,-121.936402,28.0,407710,0.2661272165904406
17018279,2017-02-16 07:54:00,1183-Trfc Collision-Unkn Inj,37.317242,-121.940319,32.0,407711,0.13265517073966113
17018290,2017-02-16 08:01:00,1182-Trfc Collision-No Inj,37.366436,-121.901034,13.0,400122,0.03460993527892003
17018304,2017-02-16 08:05:00,1183-Trfc Collision-Unkn Inj,37.275824,-121.946309,14.0,400436,0.4662628032697004
17018305,2017-02-16 08:04:00,1183-Trfc Collision-Unkn Inj,37.275824,-121.946309,6.0,400436,0.4662628032697004
17018427,2017-02-16 09:03:00,1182-Trfc Collision-No Inj,37.346961,-121.858883,0.0,400160,0.2471638024404555
17018436,2017-02-16 09:07:00,1182-Trfc Collision-No Inj,37.262461,-121.974534,5.0,404434,0.8486066952093211
17018440,2017-02-16 09:00:00,1182-Trfc Collision-No Inj,37.262461,-121.974534,26.0,404434,0.8486066952093211
17018460,2017-02-16 09:14:00,1125-Traffic Hazard,37.317339,-121.940817,33.0,407711,0.08062826371114103
17018461,2017-02-16 09:11:00,1125-Traffic Hazard,37.317339,-121.940817,13.0,407711,0.08062826371114103
17018470,2017-02-16 09:21:00,1125-Traffic Hazard,37.299052,-121.874679,9.0,400654,0.18468078459921763
17018806,2017-02-16 12:33:00,1183-Trfc Collision-Unkn Inj,37.274669,-122.003628,8.0,400222,0.1438960777495307
17018836,2017-02-16 12:52:00,1125-Traffic Hazard,37.29893,-121.874966,6.0,400654,0.18593533762312336
17018904,2017-02-16 13:31:00,1125-Traffic Hazard,37.330095,-122.052565,3.0,407344,0.28255376500782714
17018953,2017-02-16 13:57:00,1125-Traffic Hazard,37.373352,-121.925731,15.0,401817,0.2655819690415474
17018961,2017-02-16 13:59:00,1125-Traffic Hazard,37.428169,-122.10143,22.0,401507,2.976824533011835
